spec,exposure_period,period_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz
core_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1984,1984,1988,6.00845852675458e-4,0.002010472339575779,0.298858054820212,0.7651344694668134,9386,722
core_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_1992,1992,1988,0.001957588769103071,0.002235394399343928,0.8757241092120517,0.3814716822853442,9386,722
core_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_1996,1996,1988,0.009045491283446058,0.003270603243594669,2.765695075109232,0.005825480033863905,9386,722
core_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2000,2000,1988,0.009923095836197056,0.004583067885642637,2.1651644888968606,0.03070241903435998,9386,722
core_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2004,2004,1988,0.006319720302021906,0.0034611882315209986,1.8258817143974693,0.06828154177896491,9386,722
core_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2008,2008,1988,0.007786820353594795,0.003913529216687626,1.9897182114780494,0.046999311958788904,9386,722
core_controls,2000-2007,medium_run,exposure_2000_2007_x_2012,2012,1988,0.00858942333251178,0.0045084853030177546,1.9051683115751648,0.057155769811449146,9386,722
core_controls,2000-2007,medium_run,exposure_2000_2007_x_2016,2016,1988,0.004316906298293715,0.004371575542345253,0.9874943842278409,0.3237316022310873,9386,722
core_controls,2000-2007,long_run,exposure_2000_2007_x_2020,2020,1988,0.005175478202601258,0.003986833117681084,1.2981426736044426,0.1946534104146104,9386,722
full_controls,1990-2000,placebo_pre_shock,exposure_1990_2000_x_1972,1972,1988,-0.002488358545446573,0.0050176187695311495,-0.49592419427255274,0.6200990284830691,9386,722
full_controls,1990-2000,placebo_pre_shock,exposure_1990_2000_x_1976,1976,1988,0.0016324289170514279,0.006934765193662518,0.23539786445015579,0.8139667867923809,9386,722
full_controls,1990-2000,placebo_pre_shock,exposure_1990_2000_x_1980,1980,1988,-0.0011800226560577179,0.005571295279027696,-0.21180400552448472,0.8323198009005847,9386,722
full_controls,1990-2000,placebo_pre_shock,exposure_1990_2000_x_1984,1984,1988,0.0013711090078577862,0.0024256563717722176,0.5652527801602975,0.5720776825404434,9386,722
full_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_1992,1992,1988,-0.00852616796810697,0.003694124830267919,-2.308034611675157,0.021279392246636643,9386,722
full_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_1996,1996,1988,-0.017788678469699806,0.0053158009215359655,-3.3463778520433918,8.611951246757056e-4,9386,722
full_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2000,2000,1988,-0.015865554619408216,0.005578668529833298,-2.8439679709527947,0.0045817380549360315,9386,722
full_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2004,2004,1988,-0.013236889291040482,0.005234036626486447,-2.5290020371764697,0.011650868486682113,9386,722
full_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2008,2008,1988,-0.006973682547205682,0.0055770882531242325,-1.2504163876730998,0.21155313909710063,9386,722
