sample,spec,se_type,eigen_index,eigenvalue
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,17,-1.150397728953062e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,18,-1.409248776232525e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,19,-1.760145001167696e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,20,-1.956327597494725e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,21,-2.252064112783935e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,22,-2.5484461337374794e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,23,-3.38721420619257e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,24,-4.0037800758095335e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,25,-4.675046326474116e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,26,-5.377192531544711e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,27,-6.68037403920464e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,28,-8.04553392420385e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,29,-8.646888403721375e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,30,-9.874877443631473e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,31,-1.1859533673105009e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,32,-1.824542208836555e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,33,-2.2447226253331524e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,34,-2.3219197650702373e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,35,-2.6036044854642616e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,36,-2.670264462834871e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,37,-3.1638511575957226e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,38,-3.738692612699271e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,39,-4.003782665632545e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,40,-4.325777900470888e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,41,-6.133992823722545e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,42,-6.580215135667207e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,43,-7.480319152820079e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,44,-8.741920895760153e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,45,-9.318397312963309e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,46,-1.0600683301279255e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,47,-1.3438589401270108e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,48,-4.382843171976456e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,1,0.001381888339142507
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,2,3.8023644209826376e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,3,2.7720645964610633e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,4,1.6706877516177343e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,5,1.5331340865262167e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,6,1.3324590902546164e-4
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,7,1.2650616529102853e-4
