path,category,extension,bytes,md5,crosswalk_slug,modified_time
output/figures/fig_crosswalk_unavailable_weights_1990_counties_simplified.png,figures,png,493100,c9f90b9ec91b8052265c91a7e19a4950,NA,2026-05-10 16:27:50 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_counties_small.png,figures,png,345392,20a34e079f0d380db2e4aa57d88ed1b2,NA,2026-05-10 16:27:54 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_czs.pdf,figures,pdf,4600450,6c694a04d1f4aa3e7bcd55841210ee99,NA,2026-05-10 16:28:21 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_czs.png,figures,png,813706,efd547bcd923adc121aca0c57bf63d53,NA,2026-05-10 16:28:26 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_czs_simplified.pdf,figures,pdf,4557636,bdbc74ae6cc220b55f61a1a4c1f091b4,NA,2026-05-10 16:28:31 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_czs_simplified.png,figures,png,494788,8b9b0747596d9ce41a2a922abd9a7c39,NA,2026-05-10 16:28:33 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_czs_small.png,figures,png,331733,05a181a04f017545e16cea6dc998f946,NA,2026-05-10 16:28:36 CDT
output/figures/fig_event_study_rep_margin_main_specs_m5.pdf,figures,pdf,9202,1a7ad160b15577219260e9b6d2905c9f,m5,2026-05-10 16:26:08 CDT
output/figures/fig_event_study_rep_margin_main_specs_m5.png,figures,png,243408,a4b48c30ff175d77c0f9e86d700a9254,m5,2026-05-10 16:26:10 CDT
output/figures/fig_nanda_outcome_event_studies.pdf,figures,pdf,18289,52d09e000fe00ad59dedee06cd38eaee,NA,2026-05-10 16:29:00 CDT
output/figures/fig_nanda_outcome_event_studies.png,figures,png,356117,65ed74ab88fa0163c6b5fb266dd64fa8,NA,2026-05-10 16:28:59 CDT
output/figures/fig_nanda_partisanship_indices.pdf,figures,pdf,5871,3fe90107f50c744f04cfadc9fc54cfd8,NA,2026-05-10 16:29:03 CDT
output/figures/fig_nanda_partisanship_indices.png,figures,png,104791,7b857f35f5c64f13cf31209b4759ed01,NA,2026-05-10 16:29:03 CDT
output/figures/fig_nanda_presidential_vote_ratios.pdf,figures,pdf,5388,28b73d688bc64ef24cde78d7e3a9b4f8,NA,2026-05-10 16:29:02 CDT
output/figures/fig_nanda_presidential_vote_ratios.png,figures,png,100294,fd0bd360ef3cbf19e233924017eb97ad,NA,2026-05-10 16:29:02 CDT
output/figures/fig_nanda_turnout_registration.pdf,figures,pdf,6800,f7b63568d8d90214beec50f83fb29fc4,NA,2026-05-10 16:29:01 CDT
output/figures/fig_nanda_turnout_registration.png,figures,png,125618,963ef7685864bdff0cf027890d57e3bf,NA,2026-05-10 16:29:01 CDT
output/figures/fig_subperiod_exposure_event_study.pdf,figures,pdf,10268,cb7ae97716533c0f787fdae688833ee6,NA,2026-05-10 16:29:09 CDT
output/figures/fig_subperiod_exposure_event_study.png,figures,png,174978,060ba8d8714904bfd77f55c8872e47be,NA,2026-05-10 16:29:08 CDT
output/intermediate/adh_subperiod_exposure_by_cz.csv,intermediate,csv,59034,e4e0b0edb439d77271fb662270377e49,NA,2026-05-10 16:29:06 CDT
output/intermediate/analysis_panel_aa2021_rep_margin_1952start_m5.rds,intermediate,rds,400994,d147628b42208d272d88c8747846dd1c,m5,2026-05-10 16:22:48 CDT
output/intermediate/analysis_panel_aa2021_rep_margin_m5.rds,intermediate,rds,320383,3ed338ef47ae7fd252bf764236f387d9,m5,2026-05-10 16:22:48 CDT
output/intermediate/analysis_panel_full_aa2021_rep_margin_1952start_m5.rds,intermediate,rds,400994,d147628b42208d272d88c8747846dd1c,m5,2026-05-10 16:22:48 CDT
output/intermediate/analysis_panel_full_aa2021_rep_margin_m5.rds,intermediate,rds,320383,3ed338ef47ae7fd252bf764236f387d9,m5,2026-05-10 16:22:48 CDT
output/intermediate/cz_centroids_1990_population_weighted.csv,intermediate,csv,36495,720278e7490ebbd1367b11d6418cf154,NA,2026-05-10 16:22:21 CDT
output/intermediate/event_study_coefficients_aa2021_rep_margin_m5.csv,intermediate,csv,7555,724c05fbc4d17e00fd4fed3ce77314bf,m5,2026-05-10 16:26:03 CDT
output/intermediate/event_study_coefficients_all_specs_aa2021_rep_margin_m5.csv,intermediate,csv,250259,8739e7fdb40e954b15ab9012406b9568,m5,2026-05-10 16:25:17 CDT
output/intermediate/event_study_results_aa2021_rep_margin_m5_rds_chunks/manifest.json,intermediate,json,525,a3c6c18a8a6449b1c187eca8b3b3953c,NA,2026-05-10 16:26:03 CDT
output/intermediate/event_study_results_aa2021_rep_margin_m5_rds_chunks/part-001.rdsbin,intermediate,rdsbin,5205552,85192be2933ea8f3f1a32604d7713410,NA,2026-05-10 16:26:02 CDT
output/intermediate/event_study_results_all_specs_aa2021_rep_margin_m5_rds_chunks/manifest.json,intermediate,json,548,5b91cee6d2768e4331be333aa04c5cd7,NA,2026-05-10 16:25:17 CDT
output/intermediate/event_study_results_all_specs_aa2021_rep_margin_m5_rds_chunks/part-001.rdsbin,intermediate,rdsbin,13009184,1a785cce5b3a438e604c63bb11c38d27,NA,2026-05-10 16:25:17 CDT
output/intermediate/nanda_2004_2022_cz_panel.csv,intermediate,csv,1620560,02e8bf5048069f26ec826eabb226de90,NA,2026-05-10 16:28:56 CDT
output/tables/tab_event_study_rep_margin_main_specs_m5.csv,tables,csv,7998,f3ba099139850e9e1b49fbb30fbe22c3,m5,2026-05-10 16:26:07 CDT
output/tables/tab_event_study_rep_margin_main_specs_m5.tex,tables,tex,3005,56d4924bad1524f24feb72f9bd311249,m5,2026-05-10 16:26:07 CDT
output/tables/tab_event_study_rep_margin_main_specs_m5_standalone.tex,tables,tex,449,11bf779bc8e4a44b71343fc9cfb3acbb,m5,2026-05-10 16:26:07 CDT
