outcome,spec,sample,se_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz,controls,outcome_label,spec_label
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.010575131113867573,0.004574164165546825,2.311926448447299,0.021062666307401987,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.008776945488282584,0.0031528834494022858,2.7837836790149955,0.005513637738677374,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.009653200983213284,0.003420047529733811,2.8225341605017435,0.004895836305185416,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,0.006907126054447562,0.003229176623157482,2.138974376599379,0.03277304244742545,7217,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / CVAP,Full controls
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-8.699280728048461e-4,0.004572430123357608,-0.1902550830379982,0.849164173479174,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2008,2008,2004,2.96210137190295e-4,0.003918401538228707,0.07559463579738061,0.939763110874605,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.0035745473206431873,0.003486615119954434,1.0252199332772647,0.3056120621873461,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.001948514139385935,0.002981271701001291,0.6535848908811318,0.5135929947780968,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2014,2014,2004,0.0027810344356687133,0.0035587732219559847,0.7814587393518129,0.43479582541507034,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.0046134772605233585,0.004300133956445191,1.0728682657917012,0.28369836645067115,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2018,2018,2004,1.8282427604811974e-4,0.0025463386618651803,0.07179888472266367,0.9427823814627487,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.00222536157014088,0.0025947805904048583,0.8576299585290413,0.39138910817222183,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,minimal,nanda_2004_2022,cluster_cz,es_2022,2022,2004,-2.9738342005292e-4,0.0027563710853482928,-0.1078894716439615,0.9141141527257459,6941,722,none,Ballots cast / registered voters,Minimal
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.0073696599771298135,0.006153975446404526,-1.197544585823064,0.23149798437174635,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-8.590775603070514e-5,0.004019475890112921,-0.021372875066130004,0.982954275885355,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.0033065878322453817,0.0038136122776116386,0.8670487693930458,0.3862111321989672,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.0038748944600210194,0.00364988229054427,1.0616491578535798,0.2887595633621705,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2014,2014,2004,0.004077261798415431,0.004947423354817403,0.8241182340794267,0.41015188950509474,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.008181019013827734,0.005935794046497426,1.3782518311354086,0.16856402699470022,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.0017698076046690733,0.002979184331489038,0.5940577714385664,0.5526645837868545,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.0037973534789936016,0.0029395347904295327,1.2918212403394356,0.19684358428200593,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,core_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,5.431999413939266e-4,0.003137626659978243,0.17312446643913118,0.8626034273707498,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Ballots cast / registered voters,Core controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2006,2006,2004,-0.006787096158778144,0.005687413638565551,-1.1933537087501076,0.23313344412422635,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.0011118641414531128,0.0035912938736725277,-0.30959987697027386,0.7569569943827535,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2010,2010,2004,0.001763328987246023,0.0030082101359615904,0.5861721447469179,0.5579479883851175,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.003305743077779975,0.0031816761915558333,1.0389941900918187,0.2991646519454882,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2014,2014,2004,5.623201250225039e-4,0.003826157275256161,0.1469673315990014,0.8831999422823351,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.009235239748281656,0.005541106811232931,1.6666778069608728,0.09602391548284073,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2018,2018,2004,0.0019537330253417778,0.0029187500059595917,0.6693731978938199,0.5034772157238897,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.0036993047580573665,0.0027869845727860223,1.3273502817991343,0.18482373087057047,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
reg_voter_turnout_pct,full_controls,nanda_2004_2022,cluster_cz,es_2022,2022,2004,9.486971277538401e-4,0.0030798145863602023,0.3080370915688898,0.758145353734826,6941,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Ballots cast / registered voters,Full controls
pres_rep_ratio,minimal,nanda_2004_2022,cluster_cz,es_2008,2008,2004,0.001241687623024454,7.344232974001878e-4,1.6906974866128974,0.09132679885530424,3610,722,none,Presidential Republican ratio,Minimal
pres_rep_ratio,minimal,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.0017527703096047683,9.911542915596332e-4,1.7684131769703508,0.07741465957755993,3610,722,none,Presidential Republican ratio,Minimal
