year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1964,35,NM,pre_bridge,132838,194015,326853,328613,32
1964,36,NY,pre_bridge,2243559,4913102,7156661,7166275,62
1964,37,NC,pre_bridge,624844,800139,1424983,1424983,100
1964,38,ND,pre_bridge,108207,149784,257991,258389,53
1964,39,OH,pre_bridge,1470865,2498331,3969196,3969196,88
1964,40,OK,pre_bridge,412665,519834,932499,932499,77
1964,41,OR,pre_bridge,282779,501017,783796,786305,36
1964,42,PA,pre_bridge,1673657,3130954,4804611,4822690,67
1964,44,RI,pre_bridge,74615,315463,390078,390078,5
1964,45,SC,pre_bridge,309048,215723,524771,524779,46
1964,46,SD,pre_bridge,130108,163010,293118,293118,67
1964,47,TN,pre_bridge,508965,635047,1144012,1144046,95
1964,48,TX,pre_bridge,958566,1663185,2621751,2626811,254
1964,49,UT,pre_bridge,181785,219628,401413,401413,29
1964,50,VT,pre_bridge,54942,108127,163069,163089,14
1964,51,VA,pre_bridge,481334,558038,1039372,1042267,130
1964,53,WA,pre_bridge,470366,779699,1250065,1258374,39
1964,54,WV,pre_bridge,253953,538087,792040,792040,55
1964,55,WI,pre_bridge,638495,1050424,1688919,1691815,72
1964,56,WY,pre_bridge,61998,80718,142716,142716,23
1968,01,AL,pre_bridge,146591,687664,834255,1044505,67
1968,04,AZ,pre_bridge,266721,170514,437235,486936,14
1968,05,AR,pre_bridge,189062,184904,373966,609593,75
1968,06,CA,pre_bridge,3467664,3244318,6711982,7251587,58
1968,08,CO,pre_bridge,409345,335174,744519,811199,63
1968,09,CT,pre_bridge,556721,621561,1178282,1254932,8
1968,10,DE,pre_bridge,96714,89194,185908,214367,3
1968,11,DC,pre_bridge,31012,139566,170578,170578,1
1968,12,FL,pre_bridge,886804,676794,1563598,2187805,67
1968,13,GA,pre_bridge,380111,334438,714549,1250272,159
1968,15,HI,pre_bridge,91425,141324,232749,236218,4
1968,16,ID,pre_bridge,165369,89273,254642,291183,44
1968,17,IL,pre_bridge,2174774,2039814,4214588,4619749,102
1968,18,IN,pre_bridge,1067885,806659,1874544,2123561,92
1968,19,IA,pre_bridge,619106,476699,1095805,1167931,99
1968,20,KS,pre_bridge,478674,302996,781670,872783,105
1968,21,KY,pre_bridge,462411,397540,859951,1055892,120
1968,22,LA,pre_bridge,257535,309615,567150,1097450,64
1968,23,ME,pre_bridge,169254,219118,388372,392936,16
1968,24,MD,pre_bridge,517995,538310,1056305,1235039,24
1968,25,MA,pre_bridge,766844,1469218,2236062,2331752,14
1968,26,MI,pre_bridge,1370665,1593082,2963747,3306250,83
1968,27,MN,pre_bridge,658643,857738,1516381,1588506,87
1968,28,MS,pre_bridge,88516,150644,239160,654509,82
1968,29,MO,pre_bridge,811932,791444,1603376,2116409,115
1968,30,MT,pre_bridge,138835,114117,252952,274404,56
1968,31,NE,pre_bridge,321163,170784,491947,536851,93
1968,32,NV,pre_bridge,73188,60598,133786,154218,17
1968,33,NH,pre_bridge,154903,130589,285492,297298,10
1968,34,NJ,pre_bridge,1325467,1264206,2589673,2875395,21
1968,35,NM,pre_bridge,169692,130081,299773,327281,32
1968,36,NY,pre_bridge,3007932,3066848,6074780,6790066,62
1968,37,NC,pre_bridge,627192,464113,1091305,1587493,100
1968,38,ND,pre_bridge,138669,94769,233438,247882,53
1968,39,OH,pre_bridge,1791014,1700586,3491600,3959698,88
1968,40,OK,pre_bridge,449697,301658,751355,943086,77
1968,41,OR,pre_bridge,408433,358866,767299,819622,36
1968,42,PA,pre_bridge,2090017,2259405,4349422,4747928,67
1968,44,RI,pre_bridge,122359,246518,368877,384938,5
1968,45,SC,pre_bridge,254062,197486,451548,666978,46
1968,46,SD,pre_bridge,149841,118023,267864,281264,67
1968,47,TN,pre_bridge,472592,351233,823825,1248617,95
1968,48,TX,pre_bridge,1227844,1266804,2494648,3079216,254
1968,49,UT,pre_bridge,238728,156665,395393,422568,29
1968,50,VT,pre_bridge,85142,70255,155397,161404,14
1968,51,VA,pre_bridge,590319,442387,1032706,1359930,134
1968,53,WA,pre_bridge,595553,620220,1215773,1316803,39
1968,54,WV,pre_bridge,307555,374091,681646,754206,55
1968,55,WI,pre_bridge,809997,748804,1558801,1691538,72
1968,56,WY,pre_bridge,70927,45173,116100,127205,23
1972,01,AL,pre_bridge,728701,256923,985624,1006093,67
1972,04,AZ,pre_bridge,402812,198540,601352,653505,14
1972,05,AR,pre_bridge,445751,198899,644650,647666,75
1972,06,CA,pre_bridge,4602096,3475847,8077943,8367862,58
1972,08,CO,pre_bridge,597189,329980,927169,953885,63
1972,09,CT,pre_bridge,810763,555498,1366261,1383500,8
1972,10,DE,pre_bridge,140357,92283,232640,235516,3
1972,11,DC,pre_bridge,35226,127627,162853,163421,1
1972,12,FL,pre_bridge,1857759,718117,2575876,2583283,67
1972,13,GA,pre_bridge,881496,289529,1171025,1171025,159
1972,15,HI,pre_bridge,168865,101409,270274,270274,4
1972,16,ID,pre_bridge,199384,80826,280210,310379,44
